n,sparsity,seed,solution_lowest,value_lowest,solution_most,value_most,annealer_tte
132,0.5,222,111101000000110000011010110101110101001101100101111010000000010110001100010000110000110111000011101100000000010100100100110100101101,-20205.1,111101000000110000011010110101110101001101100101111010000000010110001100010000110000110111000011101100000000010100100100110100101101,-20205.1,312.0674
133,0.5,222,0111010010000110001011000011101010101100000100111011101000110000110011100000001111111011100100010011011000011000011111101010010100011,-18169.72,1101010111000010111101010010101011111100100110010000101010100100111111011100111101111011000101010011011100001101110111101010111100000,-18460.57,259.2098
134,0.5,222,10001010100001101010011010010001010101000100101111110010010110010101110001100000101001101100100010000111111000000011010001001001100101,-20582.49,10001011101000101100111010010101010001110100101101101000110010011100001111100010101001110100101000001110101000000011010011011000000001,-20668.44,373.615
135,0.5,222,100110111111100010011110101001100001101110011001011111110110100011010001010010111110101100100110110100101110010111001010100001000001010,-19563.18,100110111111100010011110101001100001101110011001011111110110100011010001010010111110101100100110110100101110010111001010100001000001010,-19563.18,262.9714
136,0.5,222,1111011111100101100110000000001101000100000110011011100000000101110001111111010000001111101001101001101110110010101100001010110111000111,-19774.67,1110011111110101100011010100000101000100010111011011100010001001010001111110011011001111101011111000100110110010101100001110010111100011,-20434.7,173.7107
137,0.5,222,00011111111001010011000010100101101111110110001000111110011110001001101110111000110101000000001111000101101100000111101101011111110010011,-19493.24,00011111111001010011000010100101101111110110001000111110011110001001101110111000110101000000001111000101101100000111101101011111110010011,-19493.24,344.013
138,0.5,222,100010111000010111110010010001011101000110101001110010111010011010100010100110011001011001000010000000100011000001001101100100010101010110,-20524.42,100010111000010111110010010001011101000110101001110010111010011010100010100110011001011001000010000000100011000001001101100100010101010110,-20524.42,229.0192
139,0.5,222,0100111101110011001011011011111011110110100000011110000110111111000101011000101001001001101001001110011101101010001110000011100000100011100,-20695.55,0100111101110011001011011011111011110110100000011110000110111111000101011000101001001001101001001110011101101010001110000011100000100011100,-20695.55,422.5467
140,0.5,222,01100011100100111101010110101000110010100100010100000101001011111001011010110000010100011000110111010001011001111000000000101100110100001100,-21793.92,00001011100100111101110111100001110000100101010000001101101011111001001010101000010110011000010011010101011001111100000110111101110110011100,-21953.42,372.0111
141,0.5,222,001011110000011110110011001110010011100110011010101010101001010110000111111011110110011101111110010011011110111101111110110110111100000001001,-21081.04,110110101111101000011101110001111000101101111100010101010110101000011101000110001001100011001001111100101001010110010001001000000111110101101,-21996.98,179.1872
142,0.5,222,1010101000010010101010010011110011000110000100111110010001011110101010111100010111000011100000110101110000000000111001111101011111100000000000,-21001.17,1010100001110000011101101100101011011110011111101110001101001010101000000101001100001001010010110111011001101001101010011000010001011011110001,-21138.76,234.1562
143,0.5,222,11000001101001111111101100101110111101001111111000100000101111011100110110000000111011110111100001010001110000010010010110110100111110101100111,-19956.69,11001000101001011110011001000010011000001110111000000011000111110011110010110001110000100111101001110100001100110011111110101101110110111101101,-20986.61,436.3334
144,0.5,222,011111011101111110111010111000011001111011110011101111100000100101000010011100110101100010111000101110101111101010010001101000010110110000101010,-19414.45,110101011100110101101010111000001101111101111001001011110010100111010011001100100100100001100000011010100001110110010001101000110111110100100110,-20613.94,245.8779
145,0.5,222,0010101001111100011010100101001000011100100101110111100101010110101000010000100010010111010000111100011001001110000101110011001110010001100000000,-23193.3,0010101001111100011010100101001000011100100101110111100101010110101000010000100010010111010000111100011001001110000101110011001110010001100000000,-23193.3,387.8066
146,0.5,222,01011111100011010111111011101111010000010111000111110111110010101010010011100101110110010110001110011101101100100010100100011010110101011010010010,-21073.08,01011111100011010111111011101111010000010111000111110111110010101010010011100101110110010110001110011101101100100010100100011010110101011010010010,-21073.08,351.6279
147,0.5,222,001000100001101100101111011101110010010110011011111010011001101100101110000000011111111000010110111001111101110110111011111101011110110011010111011,-25003.4,001000100001101100101111011101110010010110011011111010011001101100101110000000011111111000010110111001111101110110111011111101011110110011010111011,-25003.4,660.2047
148,0.5,222,0011111000010010100010110010111110011101101001001001010010100000100010100110101111000001011101011001001011001101001001101111101011111110110100110110,-23379.02,0011111000010010100010110010111110011101101001001001010010100000100010100110101111000001011101011001001011001101001001101111101011111110110100110110,-23379.02,603.5455
149,0.5,222,00110010000111000100110100000011101110101101101100010101001001011000111100100111001110001111110000011101101010001011001111101101001110101101010111110,-22202.11,10110000000101100100110100000011101010101101101110011011001101110100111100100101001110000110100001010011101010001011101111101101001110100101110111110,-22253.28,362.6148
150,0.5,222,111011011001011010000010001010010100000100001100101000010001001000110110001111010011010001110000000111110010001011100101111001100001111010110010100001,-22447.51,111011010011111111000011100010010101001100011100101000010011000010010110101111110011010111101000100111011000001011110100111000100001011010110011100001,-23638.86,242.6868
151,0.5,222,1011001011011001111101111101001010101010100001010111010010101101001100111001011111100111100110111101101001101011011001110111111011100100001000000111101,-22475.61,1111001000011010111110110000101011110010000001001100101010000101001101101100011110000111001011001100110100001010001110111101100001101011001110101000100,-22509.02,448.0415
152,0.5,222,01100001101100110100100001010111101101100110101100010110000000100001101010010100010001101100110011011100111110000111011001101001101101111000101110111111,-23362.89,11011110010111001011011110011000000010001101010011101001101010011110011101110011100000000011001110010011110011110001100000110110101010000111100001101000,-24165.99,447.4081
153,0.5,222,111001111110101001110111001110110001111001111101010011011010000010110111111110000001110110011000111111001001000011011000111100000100111000111011111001100,-22518.8,011010110110110000011000101001110101011101101110010101011000000011110111010010110000101110001111000110101100001011011111110101000101101010011011011100100,-23914.78,464.9911
154,0.5,222,1001111100111111010110111001001010111100110101001111001101111100100111101000011011100010001101101100110001111100101101000111101011100010101010001000001101,-22061.41,1001010101100100010100110001000001101100110111001110001101010000000100001111110101110110101101111100000001011101100100100101110011101001101110011001001000,-23553.95,450.9573
155,0.5,222,01010100011101111000110010110111101101100101100001001011110100101110001010011001111011011111001110010001010000110101100000001011010110101101110110100101101,-24409.64,01011010011000101000100010100111100001100101110100100010110101100110111010011101000001111100001110111000001011110100100000001011010110001101100011100100001,-24531.4,474.8987
156,0.5,222,010101100110101110110110001001011001010011101011111011101101000111001100011011000100010010110000001100010101100000110000111100001001010000011111001101011110,-24265.08,010101100110101110110110001001011001010011101011111011101101000111001100011011000100010010110000001100010101100000110000111100001001010000011111001101011110,-24265.08,509.219
157,0.5,222,1010100000010010101001111101101000101101011101001000100110101000111101110100101011000100000110111101010110001001111100100001101110011100000110101111111100100,-25472.21,1000100000010101101100110100001000100001010101001000101110001000111001110110011011000100000010111111110100010001110001101101001110010110110111100011100100100,-25569.81,175.6746
